WorkerId,SubmitTime,language,experiment.type,animacy,number,definiteness,subject,sentence,sentence_id,response,rt,question_number,type
BE5F0QAROKXA89XLYEI4SI0P10XKOM,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,animate,singular,definite,fox,The fox crossed under the fence.,3484,2,2064,49,target
H91Z0Y0Z9943GZ99ZYR7M3LHNKIXAO,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,animate,plural,indefinite,skunk,Skunks are cute but stinky.,3776,1,2585,48,target
7KXOF2RC0QVENTU0PT8777OWXH45IT,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,inanimate,plural,definite,tire,The tires on the car were flat.,3398,2,2365,58,target
D91KKPB79JULIKVC99J2FCBNP7J4WO,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,animate,plural,definite,cat,The cats meowed.,1832,2,2126,59,target
JBRDSELY57AVMOOFSMYGNDC5B2INGJ,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,animate,singular,indefinite,pigeon,A pigeon STOOD ON THE ROOF. ,3118,2,1965,50,target
IUURWFVDREPSVJ4QPH1O1ODLU2XN5P,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,animate,singular,definite,skunk,The skunk made an awful smell,2030,2,2982,51,target
XF9C2CL62CA40QOMIC4J6ZT6LP6N78,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,inanimate,singular,indefinite,chair,A chair is available if you need a seat.,1307,2,1980,52,target
1RX7UEY3L32E6X5O3VYBSHI0OTUHM8,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,animate,singular,definite,camel,The camel uses his humps to conserve water,301,2,3492,53,target
K5WPXXOR3U62O3JX85CHSQS0HQM4GV,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,inanimate,plural,definite,trumpet,The trumpets blared loudly as the King and Queen waved from their balcony.,899,2,4581,54,target
7TRZP4PDBOA6DZTFFA9HXY7E45Q4HT,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,inanimate,plural,indefinite,guitar,Guitars are the most popular instrument of country artists.,48,1,2603,55,target
UHKK47AO165C7NGUWS6905G1LINOP6,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,animate,plural,definite,shark,The sharks swam frantically.,2547,2,2556,56,target
K873DHA7IV1E8BXPGKJDEOYKOMUGI2,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,inanimate,singular,definite,clock,The clock chimed away,3272,2,1983,57,target
0JCJHBO2TOVO2HHDG28RUHEUNOUMIP,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,inanimate,plural,indefinite,computer,Computers are getting smaller.,2881,1,2993,29,target
U84Q12ASEBCHSZP9F2PTI672AYCR5C,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,inanimate,plural,indefinite,couch,Couches are comfortable. ,127,1,3549,28,target
HJ3TOK24BDU3NXA91UAVQCF7CJV0CA,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,animate,plural,indefinite,lion,Lions eat meat.,1254,1,2450,25,target
39YJEFCXWZHI9H40SUZ97FXLY3O15M,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,inanimate,singular,definite,knife,The knife snapped the moment it pierced the skin of the sweet potato.,4022,2,2721,24,target
WC7ORFCLHZEG68UWC6WC23B97VJMXU,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,animate,plural,indefinite,panda,Pandas chewed bamboo in their cages at the zoo.,2042,2,3320,27,target
1B2O2D85TI5AV54ZFWJ1MTZNZPF4OL,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,animate,singular,indefinite,bear,A bear is a large animal,1422,1,3508,26,target
RKG925Z5F6LITB8T24XIF109FU6DHY,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,inanimate,plural,definite,boat,The boats are in the harbor.,2901,2,3541,21,target
7P5MNJMN7L2XVTO5MYKRWKQD8R8202,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,animate,plural,definite,turtle,The turtles Have shells on their backs,1378,1,5038,20,target
0XDJJX2GHTXXE3O447RLGRCUFSS0PU,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,animate,plural,indefinite,peacock,Peacocks are brightly colored,4254,1,2769,23,target
UVI9QQPW8Y8XQEZPEKKT63BLD95N9M,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,animate,singular,definite,kangaroo,The kangaroo Jumped over the fence,1364,2,2333,22,target
2WVRF9A74H2VESC3HBERMRFDPPAQNK,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,inanimate,plural,definite,light bulb,The light bulbs crashed to the floor.,2853,2,2545,100,target
UN5GQEN3QSEW9834G6X0I64BD4S5M2,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,inanimate,plural,definite,football,The footballs were flat.,4305,2,4523,6,target
IFRWBW46FD8COXQZ8GXZVFV5C2K5W3,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,animate,plural,definite,pigeon,The pigeons eat seeds.,608,2,4050,7,target
4054TWIIIHZ12YF00YEFBLHNKPLPHP,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,inanimate,plural,indefinite,sword,Swords are weapons.,608,1,3858,4,example
QHDBYWHEY67BW9O8W33BM22WE2T4JG,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,inanimate,plural,indefinite,marble,Marbles are made of glass.,2217,1,4232,5,target
1P4ASECFKODOLHY6D6AX56XQRETYB4,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,animate,singular,definite,zebra,The zebra is not extinct.,2217,1,6352,2,example
JNPQUW0IIGD74T5ZZ9W33TLPJLADT4,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,animate,singular,indefinite,mouse,A mouse lives in my house.,2217,2,4498,3,example
V6TDCWE0B6YA0BZO94CM1D7SHHFMTK,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,inanimate,plural,definite,bus,The buses were blocking traffic.,2217,2,9067,1,example
5I1BNL768YWEBK98CUVPD8REGS787N,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,animate,plural,definite,bear,The bears were scary,3001,2,2539,8,target
R61UQMG69H23A9DDECOKYOOHJOH026,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,inanimate,singular,indefinite,boat,A boat sailed the sea.,2093,2,2411,9,target
VKNQYXRWCC5YX1JSUXVOV5TJOTF8HT,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,inanimate,plural,definite,chair,The chairs are stack up against the wall.,405,2,3269,38,target
EARW9XZ5IL7BVMI6AQIXIK0I1AIS41,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,animate,plural,indefinite,camel,Camels are very uncomfortable to ride on without a saddle.,1725,1,9449,39,target
LYOUBJ9BESXIDVYBH5V9CZQ5GO1QTA,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,inanimate,plural,definite,toilet,The toilets flushed automatically.,3168,2,3483,36,target
911VTMTRU0QDSO3DE9WQHYB1R0EW4F,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,inanimate,plural,indefinite,television,Televisions show enetertainment,3348,1,3412,37,target
GUXHVQEQE1VV2LRVCBUI54TO79BZQ1,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,animate,singular,indefinite,butterfly,A butterfly fluttered across the blue sky.,1978,2,2367,34,target
T8RJ8M76OGMHP83PB9GH5M0LF8EMW8,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,inanimate,singular,definite,bicycle,The bicycle crashed into the fence.,3193,2,2078,35,target
299JAQAL8AYBT066T8PSPHM9GZ048Q,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,animate,plural,indefinite,cheetah,Cheetahs are dangerous animals.,1915,1,2124,32,target
RNJMHD3QJD6UY1VHSPSKLWK0KO7ARU,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,inanimate,plural,indefinite,knife,Knives flew through the air at the target. ,1575,2,2811,33,target
5MS4PIRGYFO824O0RZHU04F57U98W8,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,animate,singular,indefinite,turtle,A turtle moved slowly across the grass.,1145,2,2229,30,target
493UVSKTORE7Q3W1V3PUFZ5I4ONZ7H,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,animate,singular,definite,rabbit,The rabbit was hopping across the field.,1479,2,2832,31,target
HFT6XJV0VSCAM2QRXYZ84O9YKGX5UY,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,inanimate,singular,indefinite,toilet,A toilet should be cleaned regularly.,279,1,2419,89,target
7SAOZV964RZ56I6VUEIZ4GLLLSDGY1,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,animate,singular,indefinite,penguin,A penguin is a cute creature.,2301,1,4085,88,target
NCHRXCTZ6VXSQFU35TO643N55D0S4B,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,inanimate,plural,indefinite,shirt,Shirts need to be ironed.,2276,1,4882,83,target
KEVXXYPO30A6AVZUYWVL2B9BVPNGGU,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,inanimate,singular,definite,bed,The bed is comfortable,3673,2,2813,82,target
76635ZIW91O7XQ9JO5MAP68PAJ5BQ4,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,inanimate,plural,indefinite,towel,Towels are a must for any home,1680,1,2398,81,target
0KRWECIV0E3EHPNWWJIIIYD02ERHTZ,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,inanimate,plural,definite,lamp,The lamps lit up the entire room with their glow,4112,2,2535,80,target
W1ZI5LWZMWUFH0CX8V9YRSSRBS0OVQ,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,inanimate,plural,indefinite,bed,Beds were brought and the children had somewhere nice to sleep during the storm.,2615,2,3312,87,target
LF9XVWADWMRIF78LH8MK8WLJNH6Z28,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,inanimate,singular,indefinite,light bulb,A light bulb turned on.,2128,2,2187,86,target
CIR58DWT2S3A30PUCY5JQBGBSR4LK3,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,inanimate,singular,indefinite,kite,A kite was flying high above the sand dune.,1745,2,2162,85,target
YBY0SCYHWGZFTA8I7KFTXU8SDZZFFX,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,animate,singular,definite,cow,The cow is mooing.,3808,2,2462,84,target
5OK4FKKMLIP4XNS437YKDNGPZIUSZP,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,animate,plural,definite,penguin,The penguins waddled.,1040,2,3998,14,target
8HB8R5ZM2E2KNSJ921155KAJNBCNYJ,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,inanimate,singular,definite,television,The television turned on by itself.,3400,2,2946,15,target
U7G8XGSVQFIH3KBJYGEU80SD5E9FNK,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,inanimate,singular,definite,towel,The towel needs to be washed,1089,2,2451,16,target
ZYTZORKUZWOEIO43U9393KJJJ9YJWE,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,animate,singular,indefinite,dolphin,A dolphin got caught in our fishing nets.,1277,2,2342,17,target
T9B3AC039JQQB75QBKOPCOOAMR9NSE,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,animate,plural,indefinite,gorilla,Gorillas take care of their young like humans.,948,1,5009,10,target
KF5K2TO87NV7AZRTCZ8H1UWVYWWKTM,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,animate,singular,indefinite,pig,A pig was wallowing in the mud.,4124,2,2170,11,target
SC7VALJSFR9TZST3NAC7TMU7LLTW8R,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,inanimate,singular,definite,computer,The computer just stopped working.,2297,2,2360,12,target
2B43EIY4KB79BXG42X53I31IXNC4I2,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,animate,plural,definite,dog,The dogs like to chase cats,324,2,6258,13,target
8H6G40ZI8ZGAE91FP8CLM83GWYG8GG,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,inanimate,singular,indefinite,zipper,A zipper can often get stuck. ,4292,1,4733,18,target
VE80YM5HW1O67AZWTHQQ1FGBCR9G3E,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,animate,singular,indefinite,shark,A shark can bite hard.,591,1,3266,19,target
MZHURZNGJ27KPUV4Y4JK58IS7R40F3,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,inanimate,plural,indefinite,piano,Pianos need to be tuned every so often.,3218,1,2403,98,target
VRZTID4J2ZHSU9X92KKKIN5L9GNPSH,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,animate,singular,indefinite,squirrel,A squirrel runs up the tree.,518,2,2073,99,target
8KZP9Y0TN74OVU97T333YJWJQ4T8VU,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,inanimate,plural,indefinite,clock,Clocks sometimes chime the hour.,3173,1,2202,94,target
QSKQAT7JIUXZVMZA9XMSWSGTE52FO9,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,animate,singular,indefinite,owl,An owl lived in the oak tree in the back yard.,220,2,2038,95,target
OB08NDOMKH5XYIV0QVAZFNS362AJMT,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,animate,plural,indefinite,elephant,Elephants like to trumpet when they are happy.,3598,1,2319,96,target
3P3KISVZ6GBEDSVPG2E4PGMD79IJD3,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,inanimate,singular,indefinite,fence,A fence is white.,3835,2,2671,97,target
QT6ERUVNG1BAQHXS2ETXAHNN14FXDJ,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,animate,singular,indefinite,dog,A dog was running wild in our neighborhood.,910,2,1969,90,target
3T3B3GCJA87WJPYP2D439IV72CP5IX,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,inanimate,singular,definite,guitar,The guitar was out of tune.,2710,2,2351,91,target
S9V5VOZ9L3SPNVX4UTTFLCDL2D7TN4,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,inanimate,plural,definite,fence,"The fences were blue, having recently been painted.",3542,2,3038,92,target
KMN4WL59ZZN0Q5SOP4MNM3XEG2IYMU,Sat Apr 25 14:26:27 PDT 2015,"""English""",1,animate,singular,definite,lion,The lion is in the zoo.,3302,2,2475,93,target
H80WE35EVPKM82N2SIQFA6QON2JPUH,Sat Apr 25 14:27:01 PDT 2015,"""English""",2,animate,plural,indefinite,cheetah,Cheetahs are dangerous animals.,1915,1,2270,61,target
WWEJFIDNWVHKTG8FP5OZ4ZZVD4FWPM,Sat Apr 25 14:27:01 PDT 2015,"""English""",2,inanimate,plural,indefinite,guitar,Guitars are the most popular instrument of country artists.,48,1,2412,60,target
PZTLA090YO0K9HRI9I7WNKYXTDJHCS,Sat Apr 25 14:27:01 PDT 2015,"""English""",2,inanimate,singular,definite,clock,The clock chimed away,3272,2,4576,63,target
STECC61G4QOATM8LXOPIY6I4MXSGQE,Sat Apr 25 14:27:01 PDT 2015,"""English""",2,inanimate,plural,definite,trumpet,The trumpets blared loudly as the King and Queen waved from their balcony.,899,2,2624,62,target
P2BKL8XLCXEP1WO6LA6G342RI4AC8Y,Sat Apr 25 14:27:01 PDT 2015,"""English""",2,animate,plural,definite,turtle,The turtles Have shells on their backs,1378,1,4194,65,target
57WGO75ONDY6X80VIPQAI3U43TNSSM,Sat Apr 25 14:27:01 PDT 2015,"""English""",2,inanimate,singular,indefinite,fence,A fence is white.,3835,2,5200,64,target
HY9D8F98R2FON7HPXHDFBYTDI8ZQBQ,Sat Apr 25 14:27:01 PDT 2015,"""English""",2,inanimate,plural,indefinite,computer,Computers are getting smaller.,2881,1,2915,67,target
W3TPZR93N1QYCSM2FHQ17ZI1FTNCW5,Sat Apr 25 14:27:01 PDT 2015,"""English""",2,inanimate,singular,indefinite,kite,A kite was flying high above the sand dune.,1745,2,2201,66,target
CL9V5082OFL3U0OHQG9V7ID7O5TTMI,Sat Apr 25 14:27:01 PDT 2015,"""English""",2,animate,plural,definite,pig,The pigs squealed in the mud.,655,2,3874,69,target
QMH3G0X0TNTNXE6YRPWH59J7RDT5T2,Sat Apr 25 14:27:01 PDT 2015,"""English""",2,inanimate,singular,indefinite,chair,A chair is available if you need a seat.,1307,2,9772,68,target
CRVQX8TB5KZF45Q9VAJCJGDLXEVNGW,Sat Apr 25 14:27:01 PDT 2015,"""English""",2,animate,singular,definite,lion,The lion is in the zoo.,3302,2,2374,72,target
NV9ETTL2MUNWCTK0I4XZ1VX0CW4Q01,Sat Apr 25 14:27:01 PDT 2015,"""English""",2,animate,singular,definite,gorilla,The gorilla is an amazing jungle animal.,3222,1,2889,73,target
GNDSTDMXFWW8Q96CG574GOIPVXKZ68,Sat Apr 25 14:27:01 PDT 2015,"""English""",2,animate,singular,definite,cow,The cow is mooing.,3808,2,2740,70,target
S3ME9Q39OHUXDBJU5CTH5OX70NZQGP,Sat Apr 25 14:27:01 PDT 2015,"""English""",2,inanimate,plural,indefinite,towel,Towels are a must for any home,1680,1,2708,71,target
HFCVTSYS5YFA1EG2PL6Q3SLN1NFKLA,Sat Apr 25 14:27:01 PDT 2015,"""English""",2,inanimate,singular,definite,couch,The couch was full of laundry.,2098,2,2055,76,target
SL758CZYJI5Q2M466KRK73ZDSGTTZA,Sat Apr 25 14:27:01 PDT 2015,"""English""",2,inanimate,singular,indefinite,lamp,A lamp  or a torch are the most common light sources for dungeoneering.,3195,1,4956,77,target
E75RUDR9ITXA8GY4JSLY0T0VFFG7CL,Sat Apr 25 14:27:01 PDT 2015,"""English""",2,inanimate,plural,indefinite,television,Televisions show enetertainment,3348,1,2445,74,target
GJ2Q23PGTC8GFXKV1LZJCVS6WFIRM5,Sat Apr 25 14:27:01 PDT 2015,"""English""",2,inanimate,singular,indefinite,trumpet,A trumpet is very loud.,439,1,2271,75,target
LTYIWSQP4QKS9P2SLTKRR2B03VDTB0,Sat Apr 25 14:27:01 PDT 2015,"""English""",2,animate,singular,definite,panda,The panda is a mammal.,2416,1,4858,78,target
SOIO79510R6GISKJHJ58V114V2W2ZB,Sat Apr 25 14:27:01 PDT 2015,"""English""",2,animate,singular,definite,cheetah,The cheetah is fast.,2897,1,2162,79,target
CFBXIV63X7QHJ9AACFJZQUQ0E2657Z,Sat Apr 25 14:27:01 PDT 2015,"""English""",2,animate,plural,definite,owl,The owls hooted in the cold night air.,888,2,3732,47,target
DBBA0BJ7A0VGOANB9J3VVSVSD7JJWD,Sat Apr 25 14:27:01 PDT 2015,"""English""",2,inanimate,plural,indefinite,clock,Clocks sometimes chime the hour.,3173,1,2710,46,target
HP7XIR7KZ4PB5W49TP1AEK64XS0L2Z,Sat Apr 25 14:27:01 PDT 2015,"""English""",2,inanimate,singular,definite,television,The television turned on by itself.,3400,2,2310,45,target
MUSC23OE41426X13SGCGTI5O7W1BMQ,Sat Apr 25 14:27:01 PDT 2015,"""English""",2,inanimate,singular,definite,guitar,The guitar was out of tune.,2710,2,2373,44,target
FPZ0GPU02XVU3MAW71LKTP2V1PYIRH,Sat Apr 25 14:27:01 PDT 2015,"""English""",2,inanimate,singular,indefinite,toilet,A toilet should be cleaned regularly.,279,1,4088,43,target
2VC0FXOXTZLPQ1HFYTJLVJLQC1JRXN,Sat Apr 25 14:27:01 PDT 2015,"""English""",2,animate,plural,definite,bear,The bears were scary,3001,2,3458,42,target
R5VUCEC7G7AUGX5SKAOA5VTRRNT3NN,Sat Apr 25 14:27:01 PDT 2015,"""English""",2,animate,plural,definite,dolphin,The dolphins are always a popular attraction.,1478,2,3138,41,target
C3KPXXDOBDUFFA9U5UT8SXKQXCRRJV,Sat Apr 25 14:27:01 PDT 2015,"""English""",2,animate,plural,definite,penguin,The penguins waddled.,1040,2,2546,40,target
97DJB91EGYZ1HOQRQY3N03GPY1BC9W,Sat Apr 25 14:27:01 PDT 2015,"""English""",2,animate,singular,indefinite,pig,A pig was wallowing in the mud.,4124,2,3240,49,target
7XB6R128X9QJT53Y9NHSG4UWXCM6JD,Sat Apr 25 14:27:01 PDT 2015,"""English""",2,animate,plural,indefinite,peacock,Peacocks are brightly colored,4254,1,2678,48,target
UCQICI2GVGZQOH7X41JIXXPHIGFZ2M,Sat Apr 25 14:27:01 PDT 2015,"""English""",2,animate,plural,indefinite,panda,Pandas chewed bamboo in their cages at the zoo.,2042,2,2749,58,target
OS1CVAEMQ8O9RGQ0KG22065FAXYUHR,Sat Apr 25 14:27:01 PDT 2015,"""English""",2,inanimate,plural,definite,kite,The kites dance in the wind.,3651,2,2013,59,target
W8Q62DXGL1E912PQGSIG4RY416U5XJ,Sat Apr 25 14:27:01 PDT 2015,"""English""",2,animate,plural,indefinite,rabbit,Rabbits are hungry for carrots.,1167,1,5044,50,target
0289UC5VPJT8DH8OK4UYA8SR9ZFT60,Sat Apr 25 14:27:01 PDT 2015,"""English""",2,inanimate,plural,definite,toilet,The toilets flushed automatically.,3168,2,2998,51,target
5Z7OHVPBL1RAHYPAU1PMXFXVCH2AZU,Sat Apr 25 14:27:01 PDT 2015,"""English""",2,animate,singular,indefinite,bear,A bear is a large animal,1422,1,3006,52,target
3DUCZNH75J5E15R58Q5CCNLUADGE53,Sat Apr 25 14:27:01 PDT 2015,"""English""",2,inanimate,plural,indefinite,bed,Beds were brought and the children had somewhere nice to sleep during the storm.,2615,2,4559,53,target
LO8V0Z8N93KMMDIGPU10T78PPNJOFK,Sat Apr 25 14:27:01 PDT 2015,"""English""",2,inanimate,plural,definite,fence,"The fences were blue, having recently been painted.",3542,2,3345,54,target
2A0IGED8JMJC6JQ09CLQSJVAL78J6V,Sat Apr 25 14:27:01 PDT 2015,"""English""",2,animate,plural,indefinite,skunk,Skunks are cute but stinky.,3776,1,2661,55,target
R5P0X12ZPNMFS4X45N313A21OY2IYM,Sat Apr 25 14:27:01 PDT 2015,"""English""",2,inanimate,plural,indefinite,couch,Couches are comfortable. ,127,1,2264,56,target
8B4VCRO3NIX2RHW67IGU1UAMLF1MXI,Sat Apr 25 14:27:01 PDT 2015,"""English""",2,inanimate,plural,indefinite,shirt,Shirts need to be ironed.,2276,1,1850,57,target
OMXBYDOXD3KXQYJ4SNKEJ0FT3PS4V2,Sat Apr 25 14:27:01 PDT 2015,"""English""",2,inanimate,plural,definite,light bulb,The light bulbs crashed to the floor.,2853,2,2849,29,target
